"","Wasmannia auropunctata","Apis mellifera","Crematogaster steinheili","Unidentified sp4 M_PL_040","Camponotus hannani","Sphex jamaicensis","Euglossa jamaicensis","Dryas iulia delila","Heliconius charitonius simulator","Xylocopa sp1 M_PL_040","Centris sp2 M_PL_040","Unidentified sp3 M_PL_040","Unidentified sp1 M_PL_040","Trochilus polytmus polytmus","Centris sp1 M_PL_040","Mellisuga minima","Aguna asander jasper","Anolis grahami","Camponotus subdepilis","Papilio thersites","Unidentified sp7 M_PL_040","Eurytides marcellinus","Conotelus obscurus","Marpesia chiron","Agapostemon sp1 M_PL_040","Unidentified sp2 M_PL_040","Coereba flaveola ","Adelpha abyla","Paraphrissopoda chrysostoma","Unidentified sp11 M_PL_040","Nesopsar nigerrimus","Unidentified sp12 M_PL_040","Atlantea pantoni","Dione vanillae insularis","Euneornis campestris","Polistes sp1 M_PL_040","Unidentified sp5 M_PL_040","Unidentified sp6 M_PL_040","Anolis sagrei","Diptera sp1 M_PL_040","Paragymnetis lanius","Unidentified sp8 M_PL_040","Unidentified sp9 M_PL_040"
"Dendropanax arboreus ",0,44,0,57,0,2,0,43,38,0,0,10,0,11,0,12,14,0,0,11,10,2,0,4,0,0,2,3,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
"Dendropanax sp1 M_PL_040",0,22,0,10,0,50,0,0,0,0,0,15,0,0,14,0,1,11,0,0,1,7,0,3,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Unidentified sp21 M_PL_040",78,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_040",0,0,26,0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,1,0,0,0
"Portlandia grandiflora",33,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_040",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia sp1 M_PL_040",0,3,0,1,0,0,8,0,0,27,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Spermacoce assurgens",35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Unidentified sp13 M_PL_040",5,6,6,0,2,0,1,0,0,1,4,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_040",0,1,0,0,2,0,1,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
