"","Apis mellifera","Lasioglossum mahense","Nectarinia dussumieri","Unidentified sp2 M_PL_103","Phelsuma sp1 M_PL_103","Agrius convolvuli","Forcipomyia sp1 M_PL_103","Lygistorrhina sp1 M_PL_103","Hemipyrellia germana","Ornidia obesa","Pachycerina seychellensis","Physiphoa azurea ","Unidentified sp1 M_PL_103","Unidentified sp3 M_PL_103"
"Gastonia crassa",1,3,12,0,5,0,0,0,2,0,0,1,0,0
"Craterispermum microdon",12,6,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,7,1,0,4,4,0,0,0,0,1,0
"Nephrosperma vanhoutteanum",1,15,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",13,0,2,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glionnetia sericea",0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Memecylon eleagni",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,0,0,0,0,0,0,0,0,1,1,0,0,1
"Aphloia theiformis",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Paragenipa wrightii",0,1,0,0,0,0,0,0,0,0,0,0,0,0
