"","Melangyna sp1 M_PL_029","Unidentified sp1 M_PL_029","Melangyna novaezelandiae","Avibrissina isolata","Leioproctus sp1 M_PL_029","Veluta albicincta","Lasioglossum sp1 M_PL_029","Leioproctus fulvescens","Unidentified sp2 M_PL_029","Lycaena salustius","Neotachina sp1 M_PL_029","Unidentified sp3 M_PL_029","Adoxia obscura","Avibrissina brevivalpis","Peremptor modica","Erythronychia aliena","Eulalia sp1 M_PL_029","Leioproctus sp2 M_PL_029","Lycaena boldenarium","Argirophenga sp1 M_PL_029","Mallochomacquartia setiventris","Proscissio cana","Unidentified sp4 M_PL_029","Zealandotachina nigrifemorata","Cheilosia sp1 M_PL_029","Dasyuris anceps","Heteria appendiculata","Heteria plebeia","Hylaeus sp1 M_PL_029","Lasioglossum sordidum","Lepidomyia decessum","Occisor sp1 M_PL_029","Pasiphila nereis","Proscissio lateralis","Protohystricia huttoni","Unidentified sp5 M_PL_029","Unidentified sp6 M_PL_029","Adoxia cheesemani","Asaphodes clarata","Calliphora quadrimaculata","Calliphora stygia","Cyphon sp1 M_PL_029","Eristalis tenax","Eudonia sabulosella","Leioproctus sp3 M_PL_029","Mordella detracta","Musc. sp1 M_PL_029","Neotachina obtusa","Pareromene pyrsophanes","Plagiomyia turbidum","Protohystirica huttoni","Rygmodus cyaneus","Scoparia submarginalis","Unidentified sp7 M_PL_029","Appis mellifera","Asilis pilicomis","Austrocidaria similata","Bombus terrestris","Calcager nudum","Calliphora icela","Calliphora quadrimaculata_1","Cheilosia captalis","Cheilosia fulvipes","Chelaner antarcticus","Cyphon sp2 M_PL_029","Dasytes subcyaneus","Declana junctilinea","Gelechia lithodes","Gelophaula aenea","Gracilicera setosa","Graphania omoplaca","Helastia cineraria","Helophilus hochstetteri","Heteria atripes","Homodotis megaspilata","Hoplocneme sp1 M_PL_029","Hydriomena deltoidata","Hylaeus relegatus","Leioproctus boltonii","Leioproctus imitatus","Leioproctus maritimus","Leioproctus sp4 M_PL_029","Leioproctus sp5 M_PL_029","Medinella flavotemorata","Melangyna ortas","Notoreas anthracias","Notoreas cataphyrrha","Notoreas mechanitis","Occisor versutus","Orocrambus crenaeus","Pales tecta","Pasiphila inductata","Pasiphila sandycias","Pasiphila sp1 M_PL_029","Peremptor sp1 M_PL_029","Peristoreus sp1 M_PL_029","Perrissina brunniceps","Proscissio albiceps","Proscissio kumarensis","Proscission sp1 M_PL_029","Pseudofoenus pedunculatus","Rhopalomerus sp1 M_PL_029","Rictonis comma","Scaptia adrel","Scaptia brevipalpis","Scoparia minisculalis","Scoparia philerga","Scoparia rotuella","Sestra flexata","Unidentified sp10 M_PL_029","Unidentified sp8 M_PL_029","Unidentified sp9 M_PL_029","Xenorhynchia peeli","Xylota montana","Zealandotachina quadrivittata","Zealandotachina subtilis","Zealandotachina varipes","Zorion minutum"
"Leptospermum scoparium",1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
"Hebe subalpina",1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Celmisia spectabilis",1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cassinia vauvilliersii",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Celmisia discolor",1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helichrysum selago",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pratia angulata",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Celmisia petiolata",1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium propinquum",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebe pinguifolia",1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raoulia subsericea",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wahlenbergia albomarginata",1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimelea traversii",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia gracilenta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
