"","Apis mellifera","Lasioglossum mahense","Nectarinia dussumieri","Rhiparida seychellensis","Unidentified sp1 M_PL_107","Hemipyrellia germana","Neophyllomyza approximatonervis","Tricimba seychellensis","Phelsuma sp1 M_PL_107","Unidentified sp3 M_PL_107","Lygistorrhina sp1 M_PL_107","Hemipyrellia sp1 M_PL_107","Mabuya sechellensis","Scaptodrosophila sp1 M_PL_107","Dichaetomyia fasciculifera","Melanostoma annulipes","Unidentified sp2 M_PL_107","Unidentified sp4 M_PL_107"
"Nephrosperma vanhoutteanum",29,30,0,0,0,1,6,4,0,2,0,0,0,0,0,0,0,0
"Northea hornei",19,0,3,1,0,2,0,0,2,0,0,0,2,2,1,1,0,0
"Dillenia ferruginea",11,6,0,2,0,3,0,0,0,0,0,2,0,0,0,0,1,0
"Craterispermum microdon",15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Erythroxylum sechellarum",3,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium wrightii",0,1,13,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
"Paragenipa wrightii",5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros seychellarum",1,7,0,3,0,0,0,1,0,1,3,0,0,0,0,0,0,0
"Memecylon eleagni",5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soulamea terminaloides",0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Excoecaria benthiamiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
