"","Villa unifasciata","Nacoleia sp1 M_PL_079","Chaetocnema sp1 M_PL_079","Technomyrmex albipes ","Ahasverus advena ","Apis mellifera","Dysauxes florida","Brachymyrmex sp1 M_PL_079","Allograpta nasuta","Polistes hebraeus","Syritta nigrofemorata","Chrysomya megacephala ","Miridae sp1 M_PL_079","Orthellia albigena ","Pachycerina crinicornis ","Phalanta phalantha","Phorinia sp1 M_PL_079","Stomorhina lunata"
"Psiadia terebinthina",2,0,7,0,1,2,2,0,1,0,2,0,1,0,0,0,0,1
"Gaertnera sp1 M_PL_079",2,9,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
"Stillingia lineata",3,4,0,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0
"Syzygium coriaceum",0,0,1,4,0,0,0,3,0,0,0,1,0,0,0,0,1,0
"Antidesma madagascariense",0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psathura terniflora",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tabernaemontana persicarifolia",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia obtusifolia",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristhema mauritiana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Olea lancea",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psidium cattleianum",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
