"","Sylvia atricapilla","Turdus merula","Sylvia borin","Sylvia melanocephala","Erithacus rubecula","Cyanopica cyanus","Sylvia cantillans","Turdus philomelos","Ficedula hypoleuca","Sylvia communis","Phoenicurus phoenicurus","Sturnus unicolor","Sylvia hortensis","Luscinia megarhynchos","Muscicapa striata","Saxicola torquata","Sylvia undata"
"Pistacia lentiscus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rubus ulmifolius",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0
"Rhamnus lycioides",1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0
"Phillyrea angustifolia",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"Myrtus communis",1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"Olea europaea",1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Daphne gnidium",1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
"Smilax aspera",1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"Asparagus aphyllus",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Asparagus aculeatus",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lonicera periclymenum",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Osyris alba",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Crataegus monogyna",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Tamus communis",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pyrus bourgaeana",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rubia pregrina",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
