"","Num. of hosts sampled","Megabothris advenarius","Catallagia dacenkoi","Corrodopsylla birulai","Megabothris calcarifer","Amalaraeus penicilliger","Ceratophyllus indages","Catallagia ioffi","Tarsopsylla octodecimdentata","Oropsylla alaskensis","Megabothris beljaevi","Amphipsylla marikovskii","Rhadinopsylla pseudodahurica","Peromyscopsylla ostsibirica","Ctenophyllus armatus","Neopsylla acanthina"
"Clethrionomys rutilus",389,153,48,2,12,75,0,25,0,0,0,5,6,3,0,2
"Microtus oeconomus",239,13,112,15,78,16,0,2,0,0,0,6,0,0,0,0
"Clethrionomys rufocanus",224,49,34,0,10,11,0,13,0,0,0,4,8,3,0,0
"Tamias sibiricus",118,3,0,0,0,0,49,6,0,0,0,0,0,3,2,0
"Sorex caecutiens",147,2,2,51,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex arcticus",118,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
"Sciurus vulgaris",11,0,0,0,0,0,3,0,43,0,0,0,0,0,0,0
"Sorex daphaenodon",63,0,17,16,12,0,0,0,0,0,0,0,0,0,0,0
"Alticola macrotis",37,3,4,0,0,9,0,5,0,0,21,0,0,0,0,0
"Lemmus sibiricus",65,7,3,0,32,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus parryii",71,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
"Sorex cinereus",14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex minutissimus",40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex roboratus",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
