"","Unidentified sp1 M_PL_028","Melangyna novaezelandiae","Melangyna sp1 M_PL_028","Proscissio cana","Lasioglossum sordidum","Lycaena salustius","Lasioglossum sp1 M_PL_028","Lycaena boldenarium","Peremptor modica","Protohystricia huttoni","Occisor sp1 M_PL_028","Calliphora quadrimaculata","Eudonia sabulosella","Heteria appendiculata","Leioproctus sp1 M_PL_028","Melangyna ortas","Leioproctus sp2 M_PL_028","Scaptia adrel","Appis mellifera","Bombus terrestris","Eulalia sp1 M_PL_028","Helophilus hochstetteri","Heteria plebeia","Hybopygia varia","Leioproctus fulvescens","Leioproctus monticola","Leioproctus sp3 M_PL_028","Protohystirica huttoni","Protohystricia alcis","Scoparia submarginalis","Unidentified sp2 M_PL_028","Zealandotachina nigrifemorata","Avibrissina brevivalpis","Avibrissina isolata","Bombus hortotum","Calliphora vicina","Eristalis tenax","Gracilicera setosa","Occisor versutus","Orocrambus flexuosellus","Pales efferata","Pales nyctemeriana","Pales tecta","Pasiphila bilineolata","Rictonis comma","Unidentified sp3 M_PL_028","Unidentified sp4 M_PL_028","Argirophenga sp1 M_PL_028","Arthracanthus obscuricollis","Calliphora icela","Chelaner antarcticus","Cyphon sp1 M_PL_028","Dasytes subcyaneus","Declana junctilinea","Eucymatoge gobiata","Helastia cineraria","Helastia semisignata","Homodotis megaspilata","Hydriomena deltoidata","Hylaeus agilis","Hylaeus sp1 M_PL_028","Lepidomyia decessum","Melangyna ortas_1","Mordella detracta","Pareromene pyrsophanes","Pasiphila nereis","Pasiphila sandycias","Philia nigrostigma","Procissio valida","Proscissio albiceps","Scoparia philerga","Scoparia rotuella","Unidentified sp5 M_PL_028","Unidentified sp6 M_PL_028","Zorion minutum","Adoxia obscura","Agrotis ipsilon anieturma","Argyrophenga antipodium","Austrocidaria similata","Bombus ruderatus","Bothrophora lupina","Calcager apertum","Calliphora quadrimaculata_1","Calliphora stygia","Campylia nudarum","Cyphon sp2 M_PL_028","Declana niveata","Ephiphyrne undosata","Epiphryne xanthaspis","Evibrissa huttoni","Gelechia lithodes","Graphania disjungens","Graphania omoplaca","Graphania sequens","Helophilus antipodus","Hoplocneme sp1 M_PL_028","Hydriomena rixata","Hylaeus relegatus","Ischalis fortinata","Leioproctus boltonii","Leioproctus imitatus","Leioproctus maritimus","Leioproctus sp4 M_PL_028","Leioproctus sp5 M_PL_028","Leucania toroneura","Lucilia sericata ","Mecyna flavidalis","Musc. sp1 M_PL_028","Neotachina sp1 M_PL_028","Notoreas cataphyrrha","Oreocalus hebe","Orocrambus crenaeus","Orocrambus lectus","Pales aurea","Pales usitata","Pasiphila inductata","Pasiphila sp1 M_PL_028","Pasiphila sp2 M_PL_028","Perrissina brunniceps","Plagiomyia turbidum","Proscissio lateralis","Proscission sp1 M_PL_028","Pseudocoremia monacha","Pseudocoremia scariphota","Pseudofoenus pedunculatus","Pyronola laeta","Sawpogon proximus","Scaptia brevipalpis","Scoparia minisculalis","Selenopalpus aciphyllae","Sestra flexata","Unidentified sp10 M_PL_028","Unidentified sp7 M_PL_028","Unidentified sp8 M_PL_028","Unidentified sp9 M_PL_028","Xylota montana","Zealandotachina quadrivittata","Zealandotachina subtilis","Zealandotachina varipes"
"Leptospermum scoparium",1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
"Hebe salicifolia",0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discaria toumatou",1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olearia virgata",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Aciphylla subflavellata",1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cassinia fulvida",1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium arvense",1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corokia cotoneaster",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia spectabilis",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dracuphyllum acerosum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
