"","Apis mellifera","Augochlorensis callichroa","Toxomerus floralis","Auhochloropsis vesta","Palpada pusio","Polybia occidentalis","Urbanus dorantes dorantes","Dialictus sp1 M_PL_030","Melipona favosa","Pereirapis sp1 M_PL_030","Polistes subsericeus","Pyrgus oileus orcus","Toxomerus marginatus","Amazilia fibriata","Amazilia tovasi","Athidium sp1 M_PL_030","Campsomeris dorsata","Cerceris sp1 M_PL_030","Euglossa cordata","Eumenes sp1 M_PL_030","Eurema nise","Helicobia morionella","Heliopetes arsalte","Ornidia obesa","Oxyssarcodexia peltata","Polybia ignobilis","Sphex melanopus","Anthidiellum sp1 M_PL_030","Augochlora sp1 M_PL_030","Augochlora sp2 M_PL_030","Augochloropsis sp1 M_PL_030","Ceratina sp1 M_PL_030","Chrysagria duodecimpuntata","Cogia calchas","Cyclocephala gravis","Dialictus sp2 M_PL_030","Euhibus sp1 M_PL_030","Eulaema nigrita","Exomalopsis sp1 M_PL_030","Extemnius sp1 M_PL_030","Junonia evarete ","Megachile sp1 M_PL_030","Omicrom ruficolle","Pachodunerus brevithorax","Parancistrocerus sp1 M_PL_030","Pepsis sp1 M_PL_030","Phaenica sp1 M_PL_030","Pompeius amblyspoila","Sarcophagula occidua","Tabanus sp1 M_PL_030","Trigona angustula","Urbanus simplicius","Xylocopa fibriata"
"Ludwigia nervosa",1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"Hyptis dilatata",0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Besmoscelis villosa",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuphea o'donellii",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hyptis conferta",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pterolepis glomerata",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aeschynomene pratensis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sauvagesia rubiginosa",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synqonanthus caulescens",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyttnera scabra",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
