"","Chaetocnema sp1 M_PL_073","Fannia pusio ","Apis mellifera","Stomorhina lunata","Melanostoma annulipes","Musca domestica","Stomoxys calcitrans","Dysauxes florida","Nacoleia sp2 M_PL_073","Pachycerina crinicornis ","Episyrphus sp1 M_PL_073","Gelechioidea sp1 M_PL_073","Mauritiborium undulatus ","Technomyrmex albipes ","Allograpta nasuta","Chrysomya megacephala ","Nacoleia sp1 M_PL_073","Stomoxys niger","Cotesia sp1 M_PL_073","Orthellia albigena ","Cheloninae sp1 M_PL_073","Henotesia narcissus","Hydrotaea fuliginosa","Lygistorrhina sp1 M_PL_073","Melanostoma bituberculatum ","Panara naso","Sapromyza sp1 M_PL_073","Scopariinae sp1 M_PL_073","Zosterops mauritianus","Brachymyrmex sp1 M_PL_073","Cixiidae sp1 M_PL_073","Lecithoceridae sp1 M_PL_073","Melanagromyza sojae ","Polistes hebraeus","Psyllidae sp1 M_PL_073","Scirtidae sp1 M_PL_073","Thelairodrino sp1 M_PL_073"
"Sideroxylon cinereum",0,11,24,8,5,11,4,0,0,1,0,1,0,0,3,1,0,0,0,3,0,2,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0
"Homalanthus populifolius",30,26,0,5,3,0,0,0,0,0,3,0,3,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",23,0,1,2,1,1,6,0,0,2,0,5,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Toddalia asiatica",10,3,0,7,4,0,0,5,0,5,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Aphloia theiformis",7,0,8,1,7,3,4,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Erythroxylum macrocarpum",11,0,0,1,2,0,1,2,0,0,2,3,4,5,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0
"Psiadia terebinthina",1,0,1,8,3,0,1,8,2,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doratoxylon apetalum",0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodonaea viscosa ",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trochetia blackburniana",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
