"","Lasioglossum evylaeus","Camponotus rufoglaucus","Eucera gracilipes","Sphecodes marginatus ","Unidentified sp1 M_PL_050","Unidentified sp2 M_PL_050","Amegilla quadrifasciata","Amegilla sp1 M_PL_050","Anthophora orotavae","Hylaeus sp1 M_PL_050","Unidentified sp3 M_PL_050","Unidentified sp4 M_PL_050","Amegilla canifrons","Apis mellifera","Lucilia sp1 M_PL_050","Unidentified sp5 M_PL_050","Unidentified sp6 M_PL_050","Unidentified sp7 M_PL_050","Unidentified sp8 M_PL_050","Unidentified sp9 M_PL_050","Anthophora alluardii","Gallotia galloti","Unidentified sp10 M_PL_050","Unidentified sp11 M_PL_050","Unidentified sp12 M_PL_050","Unidentified sp13 M_PL_050","Unidentified sp14 M_PL_050","Unidentified sp15 M_PL_050","Unidentified sp16 M_PL_050","Unidentified sp17 M_PL_050","Unidentified sp18 M_PL_050","Unidentified sp19 M_PL_050","Unidentified sp20 M_PL_050","Unidentified sp21 M_PL_050","Unidentified sp22 M_PL_050"
"Euphorbia obtusifolia",1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1
"Parolinea intermedia",1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argyranthemum frutescencs",1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"Convolvulus sp1 M_PL_050",1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Euphorbia canariensis",1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula buchii",1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plocama pendula",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium bonnetii",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Periploca laevigata",0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceballosia fruticosa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium aculeatum",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fagonia albiflora",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus sp1 M_PL_050",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Noechamaelea pulverulenta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
