"","Num. of hosts sampled","Ctenophthalmus assimilis","Corrodopsylla birulai","Palaeopsylla soricis","Amalaraeus penicilliger","Megabothris walkeri","Hystrichopsylla talpae","Neopsylla pleskei","Frontopsylla elata","Megabothris turbidus","Peromyscopsylla bidentata","Amphipsylla kuznetzovi","Rhadinopsylla integella","Ctenophthalmus breviatus","Peromyscopsylla silvatica","Amphipsylla sibirica","Megabothris rectangulatus","Oropsylla ilovaiskii"
"Clethrionomys rutilus",258,473,70,103,555,49,49,51,57,25,33,0,0,0,8,0,0,0
"Sorex araneus",204,283,475,485,29,48,18,9,19,9,9,0,9,0,0,0,0,0
"Neomys fodiens",24,269,372,80,0,6,80,0,0,0,0,0,0,0,0,0,0,0
"Microtus arvalis",90,279,15,23,61,42,4,19,0,27,4,4,0,0,0,0,0,0
"Microtus oeconomus",38,105,8,14,36,72,19,6,3,0,0,0,0,0,0,3,0,0
"Sorex minutus",34,26,26,149,3,6,0,0,3,0,0,0,0,0,0,0,0,0
"Microtus gregalis",43,95,0,6,34,8,6,8,0,6,8,17,0,8,0,0,0,0
"Microtus agrestis",24,64,0,4,14,47,0,10,9,0,0,0,0,0,0,0,0,0
"Sorex caecutiens",91,20,45,36,10,0,0,0,2,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",76,62,3,0,4,2,0,23,6,0,0,0,0,0,0,3,3,0
"Sicista betulina",44,6,0,0,0,2,0,0,2,5,2,0,0,0,0,0,0,0
"Apodemus agrarius",50,7,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0
"Clethrionomys glareolus",14,2,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0
"Sorex tundrensis",17,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Micromys minutus",28,0,2,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0
"Spermophilus major",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
